Feature,Importance
player_height,0.2906123840534199
player_weight,0.17263361321420478
ast_pct,0.09986904623758289
oreb_pct,0.08999490717173433
dreb_pct,0.07481554091596898
ast,0.04960026897313611
reb,0.039637417516038505
usg_pct,0.0376715148584417
pts,0.03633949071556648
ts_pct,0.03148289416660651
net_rating,0.02844835240469089
gp,0.025532460685004994
age,0.02336210908760398
